OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;NOTES
1116;Estonia;Aker Offshore;;1000;Planned;;58552,75391; 
1117;Estonia;Saaremaa Roheenergia;;;Planned;;34021,57948; 
1118;Estonia;WestBlock;;2100;Planned;;37147,83772; 
1119;Estonia;WestBlock II;;2320;Planned;;16378,60543; 
1120;Finland;Navakka;;1500;Planned;;32683,58458; 
1121;Finland;Pooki;;2000;Planned;;11969,34737; 
1122;Finland;Vagskär;98;1960;Planned;;33035,5802; 
1123;France;Le Carnet;1;6;Dismantled;2012;5304,03498;2020
1124;Germany;N-11.1;;2000;Planned;;113943,1283; 
1125;Germany;N-12.1;;2000;Planned;;128428,8326; 
1126;Germany;N-12.2;;2000;Planned;;136412,1137; 
1127;Germany;O-2.2;;1000;Planned;;29135,51122; 
1128;Ireland;North Irish Sea Array 2;;300;Planned;;13286,99588; 
1129;Ireland;North Irish Sea Array 3;;250;Planned;;16386,22581; 
1130;Ireland;SSE Tarbert;;;Planned;;12236,54938; 
1131;Italy;Bluwind Manfredonia;;825;Planned;;41562,54238; 
1132;Italy;Dorada;108;1620;Planned;;9471,452536; 
1133;Italy;Euribia;;660;Planned;;40472,33562; 
1134;Italy;Gargano Sud;85;340;Planned;;16649,75409; 
1135;Italy;Hannibal;;250;Planned;;36131,27854; 
1136;Italy;Hope Group Manfredonia;;945;Planned;;54800,29771; 
1137;Italy;Ichnusa;42;504;Planned;;16188,385; 
1138;Italy;Ionio;28;420;Planned;;23296,56369; 
1139;Italy;Mazara del Vallo Offshore 2;;795;Planned;;52717,97597; 
1140;Italy;Mazara del Vallo Offshore 3;;810;Planned;;41945,30091; 
1141;Italy;MDV - Mazara del Vallo;;504;Planned;;52663,39862; 
1142;Italy;Nuovo Porto Pino;;705;Planned;;25062,27805; 
1143;Italy;Puglia 1;60;900;Planned;;39065,0932; 
1144;Italy;Ragusa Offshore;;945;Planned;;3472,920119; 
1145;Italy;Repower FOWT Scandale;;495;Planned;;66153,92079; 
1146;Italy;Repower FOWT Sicilia;;495;Planned;;66091,51578; 
1147;Italy;Romagna 3;;320;Planned;;51069,45614; 
1148;Italy;San Pietro Nord;;510;Planned;;27849,20567; 
1149;Italy;San Pietro Sud;;504;Planned;;10167,5753; 
1150;Italy;Santa Maria di Leuca;;675;Planned;;41216,70448; 
1151;Italy;Sardinia South 1;;1600;Planned;;37227,76915; 
1152;Italy;Sardinia South 2;;750;Planned;;36138,44531; 
1153;Italy;Scicli;;750;Planned;;34193,70151; 
1154;Italy;Seawind Mazara;;798;Planned;;40802,295; 
1155;Italy;Sicilia 495 MW;;495;Planned;;46335,65345; 
1156;Italy;Trinacria;56;840;Planned;;62031,71918; 
1157;Norway;GoliatVind;;75;Planned;;107132,5416; 
1158;Norway;Utsira Nord;;500;Planned;;26725,94109; 
1159;Norway;Utsira Nord;;500;Planned;;20316,07671; 
1160;Norway;Utsira Nord;;500;Planned;;24388,41443; 
1161;Portugal;Botafogo;;990;Planned;;49845,67715; 
1162;Portugal;Creoula;;1440;Planned;;25435,73895; 
1163;Spain;Juan Sebastian Elcano;;522;Planned;;32624,63076; 
1164;Spain;La Pinta;;990;Planned;;23628,20125; 
1165;Spain;SeaWorthy;;4,3;Planned;;4643,189864; 
1166;Spain;The Wheel;;6;Planned;;11896,67207; 
1167;Spain;Varuna;;300;Planned;;5296,369375; 
1168;Sweden;Baltic Central Offshore;;4000;Planned;;12705,8608; 
1169;Sweden;Baltic Edge;;1000;Planned;;6973,300354; 
1170;Sweden;Bores Krona;;3400;Planned;;18224,47329; 
1171;Sweden;Bothnia Offshore Kappa;;2740;Planned;;30482,30312; 
1172;Sweden;Bothnia Offshore Lambda;;1500;Planned;;43337,31804; 
1173;Sweden;Bothnia Offshore Omega;;1300;Planned;;53910,11867; 
1174;Sweden;Bothnia Offshore Sigma;;2740;Planned;;87925,83216; 
1175;Sweden;Cirrus;;2550;Planned;;21542,65563; 
1176;Sweden;Falkenberg Offshore;;282;Approved;;8635,904571; 
1177;Sweden;Gävle East;;5500;Planned;;23711,54885; 
1178;Sweden;Gävle West;;4000;Planned;;49019,63331; 
1179;Sweden;Hudiksvall;;1500;Planned;;31104,81877; 
1180;Sweden;Kapheira;;2000;Planned;;37914,60931; 
1181;Sweden;Lulea-Kalix I;;1200;Planned;;43484,74987; 
1182;Sweden;Lulea-Kalix II;;1800;Planned;;30164,49065; 
1183;Sweden;Neptunus;;;Planned;;34117,48427; 
