OBJECTID;COUNTRY;NAME;N_TURBINES;POWER_MW;STATUS;YEAR;COAST_DIST_M;AREA_SQKM;NOTES;Shape_Length;Shape_Area
777;United Kingdom;Norfolk Vanguard Wind Farm;225;1800;Approved;;47493,02202;592,5331966; ;1,700462104;0,079048799
778;United Kingdom;East Anglia North Tranche 2 (Norfolk Boreas);90;2100;Approved;;73178,95654;725,3751259; ;1,278801575;0,09717146
779;United Kingdom;East Anglia North Tranche One East  (Norfolk Vanguard East);90;1800;Planned;;69902,5636;297,3740964; ;0,876324927;0,03963534
780;United Kingdom;East Anglia North Tranche One West (Norfolk Vanguard West);90;1800;Planned;;47493,02143;295,1590987; ;0,824137175;0,039413459
781;France;Parc eolien pose au large de la Normadie (AO4);;1000;Planned;2020;32637,2251;496,526101; ;1,445377382;0,062069555
782;Netherlands;Borssele;;1502,5;Planned;;24230,41162;344,9451564; ;0,926652563;0,044840233
783;Netherlands;Hollandse Kust (Zuid);140;1540;Construction;;18567,76981;352,3661213; ;0,935381375;0,046440883
784;Netherlands;Ten Noorden van de Wadden;;700;Planned;;56043,86009;217,6788741; ;1,786751921;0,029756638
785;Netherlands;Borssele Kavel II;47;376;Production;2020;24230,41162;63,52779273; ;0,355817183;0,008247041
786;Netherlands;Borssele Kavel III;37;351,5;Production;2020;29530,46426;71,46401441; ;0,437242738;0,009287471
787;Netherlands;Borssele Kavel IV;40;380;Production;2020;40217,61262;74,6983801; ;0,554258459;0,009711931
788;Netherlands;WP Q10 / Eneco Luchterduinen;43;129;Production;2015;22340,70219;15,90387943; ;0,210316646;0,002099943
789;Netherlands;ZeeEnergie / Gemini II;75;300;Production;2016;57835,07239;33,36212096; ;0,30925421;0,004574523
790;Netherlands;Buitengaats / Gemini I;75;300;Production;2016;56043,86009;34,2633775; ;0,292840403;0,004698449
791;Netherlands;Borssele Kavel I;47;376;Production;2020;27336,44703;64,8612001; ;0,405172288;0,008439471
792;United Kingdom;Hywind Scotland Pilot Park;5;30;Production;2017;22488,98939;15,40148686; ;0,208214362;0,002305877
793;United Kingdom; ;;2907;Approved;2022;61156,69751;860,3585126; ;1,7926977;0,125365657
794;United Kingdom; ;;2610;Approved;2022;79494,06907;858,4571909; ;2,022451171;0,125805704
795;United Kingdom; ;;1200;Approved;2022;115492,8703;279,8031744; ;1,170430248;0,041105488
